日時,食品,エネルギー資源,建設・資材,素材・化学,医薬品,自動車・輸送機,鉄鋼・非鉄,機械,電機・精密,情報通信・サービス他,電力・ガス,運輸・物流,商社・卸売,小売,銀行,金融(除く銀行),不動産
2026-08-16 20:14,0.81,0.59,0.17,-0.1,-0.72,1.36,-0.46,-0.3,1.29,1.8,-0.13,1.65,0.0,0.26,-0.14,-0.58,-0.49
2026-08-16 20:15,0.81,0.59,0.17,-0.1,-0.72,1.36,-0.46,-0.3,1.29,1.8,-0.13,1.65,0.0,0.26,-0.14,-0.58,-0.49
2026-08-16 20:20,0.81,0.59,0.17,-0.1,-0.72,1.36,-0.46,-0.3,1.29,1.8,-0.13,1.65,0.0,0.26,-0.14,-0.58,-0.49
2026-08-16 20:25,0.81,0.59,0.17,-0.1,-0.72,1.36,-0.46,-0.3,1.29,1.8,-0.13,1.65,0.0,0.26,-0.14,-0.58,-0.49
2026-08-16 20:28,0.81,0.59,0.17,-0.1,-0.72,1.36,-0.46,-0.3,1.29,1.8,-0.13,1.65,0.0,0.26,-0.14,-0.58,-0.49
2026-08-16 20:30,0.81,0.59,0.17,-0.1,-0.72,1.36,-0.46,-0.3,1.29,1.8,-0.13,1.65,0.0,0.26,-0.14,-0.58,-0.49
2026-08-16 20:31,0.81,0.59,0.17,-0.1,-0.72,1.36,-0.46,-0.3,1.29,1.8,-0.13,1.65,0.0,0.26,-0.14,-0.58,-0.49
2026-08-16 20:34,0.81,0.59,0.17,-0.1,-0.72,1.36,-0.46,-0.3,1.29,1.8,-0.13,1.65,0.0,0.26,-0.14,-0.58,-0.49
2026-08-18 08:00,-0.82,0.12,0.62,-0.24,-1.56,-0.23,4.03,0.43,-0.13,-0.82,0.17,-0.53,-1.75,1.06,0.02,-0.54
2026-08-18 21:58,-1.32,4.56,-1.8,-0.89,1.72,0.11,-0.97,-2.08,-3.82,-0.85,1.17,1.42,0.64,-0.39,0.02,-0.38,-0.68
2026-08-19 08:00,-1.32,4.56,-1.8,-0.89,1.72,0.11,-0.97,-2.08,-3.82,-0.85,1.17,1.42,0.64,-0.39,0.02,-0.38,-0.68
2026-08-20 08:00,-0.43,-4.02,-3.77,-3.43,0.96,-3.31,-7.31,-4.02,-3.85,-2.35,-1.89,-0.5,-2.63,-0.66,-4.17,-2.53,-0.33
2026-08-21 08:00,0.81,0.9,2.2,1.81,2.59,4.99,1.54,2.56,0.58,2.62,3.33,0.3,0.89,1.75,-0.86,0.54,2.18
2026-08-23 11:57,1.02,2.31,-0.71,-0.03,-1.47,0.22,-0.72,-3.03,-0.09,-1.32,1.74,2.16,1.95,-0.94,1.22,1.77,0.1
2026-08-23 12:59,1.02,2.31,-0.71,-0.03,-1.47,0.22,-0.72,-3.03,-0.09,-1.32,1.74,2.16,1.95,-0.94,1.22,1.77,0.1
2026-08-23 13:11,1.02,2.31,-0.71,-0.03,-1.47,0.22,-0.72,-3.03,-0.09,-1.32,1.74,2.16,1.95,-0.94,1.22,1.77,0.1
2026-08-23 22:59,1.02,2.31,-0.71,-0.03,-1.47,0.22,-0.72,-3.03,-0.09,-1.32,1.74,2.16,1.95,-0.94,1.22,1.77,0.1
2026-08-24 23:03,-0.1,-0.48,0.8,-0.48,0.65,0.28,-0.46,0.08,-0.08,-0.04,-0.21,-0.18,1.35,-0.11,-0.38,-0.53,0.57
2026-08-25 23:05,-0.1,-0.08,0.51,0.49,-1.1,-0.92,2.54,1.98,0.8,1.4,-0.42,1.37,-0.19,0.03,0.93,1.59,0.57
2026-08-27 03:35,-0.44,0.55,0.13,0.51,-1.15,-0.34,0.39,-1.01,0.62,-0.31,-0.62,-0.29,-0.45,-0.26,0.66,-0.3,-0.88
2026-08-28 06:22,-0.08,0.17,-0.9,-0.29,-0.03,1.08,-0.24,0.26,0.89,1.48,0.46,0.54,1.05,0.03,1.34,0.98,0.92
2026-08-29 03:53,-0.57,1.03,0.42,0.67,-0.8,-0.06,-0.16,-1.24,0.53,-0.12,-0.83,-0.29,-0.59,-0.08,0.96,-0.33,-0.48
2026-08-30 00:44,0.22,-0.23,-0.9,-0.11,0.35,1.33,-0.24,-0.22,1.02,1.69,0.17,0.7,1.16,0.18,0.54,1.19,1.0
2026-08-31 00:52,-0.53,0.51,0.0,0.0,-1.29,0.48,-0.53,-1.42,-1.46,-0.51,1.84,-0.67,-0.85,-0.63,0.82,-0.85,-0.22
2026-09-01 01:24,0.24,4.19,1.51,0.78,0.19,2.21,0.42,-1.19,-1.24,0.55,6.15,0.58,1.88,-0.13,1.65,0.39,-0.06
2026-09-02 00:33,-1.28,-0.32,-1.69,-1.17,-0.06,-2.45,-2.81,-1.92,-2.73,-2.13,-2.02,-0.94,-1.58,-1.06,-0.95,-0.99,-1.39
2026-09-03 00:42,-0.16,0.63,0.16,-0.35,1.21,1.22,-0.16,0.7,0.02,0.69,2.0,0.14,2.44,-0.3,1.45,2.21,-0.04
2026-09-04 00:26,-1.48,-1.13,-0.34,-1.01,-1.96,-0.96,0.52,-0.82,0.19,1.96,-1.59,-0.38,-2.2,0.0,-1.73,0.41,-0.45
2026-09-05 00:24,-1.41,-2.6,0.09,-0.73,-2.31,-1.49,0.9,-0.19,0.81,2.49,-2.44,-0.81,-2.03,0.97,-0.56,-0.05,-0.22
2026-09-11 13:36,-0.25,-0.43,-1.15,-1.44,0.44,0.89,-3.51,-1.34,-1.78,-1.67,-0.93,0.3,0.76,-0.72,0.0,1.03,-0.54
2026-09-12 00:39,-0.25,-0.43,-1.15,-1.44,0.44,0.89,-3.51,-1.34,-1.78,-1.67,-0.93,0.3,0.76,-0.72,0.0,1.03,-0.54
2026-09-14 11:36,0.91,0.0,0.43,0.28,1.31,0.5,-2.06,0.09,-0.08,0.68,0.86,1.87,1.47,1.64,1.66,2.55,1.25
